,ID,TITLE,PRICE,PRICE PER SQ. M.,BEDROOMS,BATHROOMS,SIZE,POOL,URL,IMG,NEW BUILD,*ROOMS*,*KITCHEN*,*BATHROOM*,*GARDEN*,*OUTSIDE*,*HEATING*,*POOL*,*BUILDINGS*,*TENURE*,*UTILITIES*,*ENERGY CONSUMPTION RATING*,*SECURITY*,*PARKING*,*PLOT SIZE*,*LEISURE*,*VIEWS*,*QUALITY*,LAT,LON
268,4617287,3 bedroom Apartment for sale in Malaga,595000.0,,3,,,False,https://www.kyero.com/en/property/4617287,http://production.kyero.s3.amazonaws.com/4617/4617287/54237769_original.jpg,True,,,,,various terraces,,private pool,,,,Awaiting details,,,,,,modern,36.719623,-4.420023
269,4249823,3 bedroom Apartment for sale in Malaga,199000.0,,3,,,False,https://www.kyero.com/en/property/4249823,http://production.kyero.s3.amazonaws.com/4249/4249823/47147616_original.jpg,True,,,,garden,,,,,,,Awaiting details,gated complex,,,,,good condition,36.719623,-4.420023
270,4260576,3 bedroom Apartment for sale in Malaga,169000.0,,3,,,False,https://www.kyero.com/en/property/4260576,http://production.kyero.s3.amazonaws.com/4260/4260576/47339066_original.jpg,True,"reception with fireplace, store room",,,,,,,,,,Awaiting details,,,,,,modern,36.719623,-4.420023
271,4645445,2 bedroom Apartment for sale in Malaga,142000.0,,2,,,False,https://www.kyero.com/en/property/4645445,http://production.kyero.s3.amazonaws.com/4645/4645445/54704099_original.jpg,True,various store rooms,,,,,,private pool,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
272,4645473,4 bedroom Apartment for sale in Malaga,795000.0,,4,,,False,https://www.kyero.com/en/property/4645473,http://production.kyero.s3.amazonaws.com/4645/4645473/54704505_original.jpg,True,,,,,,,private pool,,,,Awaiting details,,double garage,,,,newly built,36.719623,-4.420023
273,4617250,2 bedroom Apartment for sale in Malaga,125000.0,,2,,,False,https://www.kyero.com/en/property/4617250,http://production.kyero.s3.amazonaws.com/4617/4617250/54237240_original.jpg,True,,,,,terrace,,,,,,Awaiting details,gated complex,underground parking,,,,good condition,36.719623,-4.420023
274,3975929,2 bedroom Apartment for sale in Malaga,310000.0,,2,,,False,https://www.kyero.com/en/property/3975929,http://production.kyero.s3.amazonaws.com/3975/3975929/46114466_original.jpg,True,,,,,terrace,,,,,,Awaiting details,,,,tennis court,,,36.719623,-4.420023
275,4426155,4 bedroom Apartment for sale in Malaga,150000.0,,4,,,False,https://www.kyero.com/en/property/4426155,http://production.kyero.s3.amazonaws.com/4426/4426155/50579719_original.jpg,True,,,,,,,,,,,Awaiting details,,,,,sea views,,36.719623,-4.420023
276,4645454,2 bedroom Apartment for sale in Malaga,146900.0,,2,,,False,https://www.kyero.com/en/property/4645454,http://production.kyero.s3.amazonaws.com/4645/4645454/54704270_original.jpg,True,,,,mature garden,terrace,,,,,,Awaiting details,gated complex,,,,sea views,,36.719623,-4.420023
277,3269701,4 bedroom Villa for sale in Malaga,495000.0,,4,,,False,https://www.kyero.com/en/property/3269701,http://production.kyero.s3.amazonaws.com/3269/3269701/46114651_original.jpg,True,,,,,level plot,,,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
